iter	Passed	Remaining
215	33675	122231
216	33846	122129
217	34014	122014
218	34187	121921
219	34330	121716
220	34487	121564
221	34648	121425
222	34827	121349
223	34984	121197
224	35140	121039
225	35282	120835
226	35448	120713
227	35599	120537
228	35750	120365
229	35929	120285
230	36087	120135
231	36253	120011
232	36410	119856
233	36568	119707
234	36727	119558
235	36898	119451
236	37045	119264
237	37201	119108
238	37352	118934
239	37534	118859
240	37692	118707
241	37878	118643
242	38040	118504
243	38199	118355
244	38361	118214
245	38539	118124
246	38701	117984
247	38880	117894
248	39040	117749
249	39204	117614
250	39376	117502
251	39545	117381
252	39713	117257
253	39888	117153
254	40061	117043
255	40212	116867
256	40384	116754
257	40544	116605
258	40699	116441
259	40847	116257
260	40999	116086
261	41158	115934
262	41320	115792
263	41482	115648
264	41636	115483
265	41778	115284
266	41964	115206
267	42129	115069
268	42289	114919
269	42461	114803
270	42628	114671
271	42790	114528
272	42969	114428
273	43136	114297
274	43309	114179
275	43487	114075
276	43648	113926
277	43823	113813
278	44021	113760
279	44186	113622
280	44366	113520
281	44544	113413
282	44700	113250
283	44864	113109
284	45036	112986
285	45190	112818
286	45354	112675
287	45518	112531
288	45677	112375
289	45838	112225
290	45988	112047
291	46155	111910
292	46310	111745
293	46469	111590
294	46624	111425
295	46783	111267
296	46932	111090
297	47097	110948
298	47257	110793
299	47413	110632
300	47547	110418
301	47704	110256
302	47863	110102
303	48057	110025
304	48228	109897
305	48390	109748
306	48543	109577
307	48707	109432
308	48859	109261
309	49010	109087
310	49185	108966
311	49347	108817
312	49501	108650
313	49657	108487
314	49827	108354
315	49996	108220
316	50183	108123
317	50353	107991
318	50549	107912
319	50724	107788
320	50881	107628
321	51036	107462
322	51210	107335
323	51371	107182
324	51522	107007
325	51683	106854
326	51847	106706
327	52013	106564
328	52179	106421
329	52347	106280
330	52508	106127
331	52666	105967
332	52818	105795
333	52971	105626
334	53140	105487
335	53300	105332
336	53451	105158
337	53599	104979
338	53758	104821
339	53909	104648
340	54081	104514
341	54250	104377
342	54407	104214
343	54563	104050
344	54718	103885
345	54880	103733
346	55033	103565
347	55192	103407
348	55376	103295
349	55546	103157
350	55698	102986
351	55841	102798
352	55999	102639
353	56156	102478
354	56348	102380
355	56506	102220
356	56659	102049
357	56817	101890
358	56962	101707
359	57127	101560
360	57287	101403
361	57449	101250
362	57609	101093
363	57760	100922
364	57921	100767
365	58081	100610
366	58244	100459
367	58418	100327
368	58586	100184
369	58763	100056
370	58922	99897
371	59061	99706
372	59223	99552
373	59408	99437
374	59575	99293
375	59736	99136
376	59894	98976
377	60047	98808
378	60203	98644
379	60382	98518
380	60536	98352
381	60698	98197
382	60861	98046
383	61029	97900
384	61198	97759
385	61373	97625
386	61527	97457
387	61682	97292
388	61842	97135
389	61992	96962
390	62150	96801
391	62320	96659
392	62488	96515
393	62630	96329
394	62782	96160
395	62943	96003
396	63099	95841
397	63254	95676
398	63422	95531
399	63588	95382
400	63743	95217
401	63903	95059
402	64060	94898
403	64229	94753
404	64402	94616
405	64563	94459
406	64727	94308
407	64879	94139
408	65039	93981
409	65195	93817
410	65360	93666
411	65523	93514
412	65697	93375
413	65849	93207
414	66008	93048
415	66181	92908
416	66330	92734
417	66496	92586
418	66652	92423
419	66817	92271
420	66974	92109
421	67128	91943
422	67278	91772
423	67452	91633
424	67609	91471
425	67772	91317
426	67926	91151
427	68084	90991
428	68263	90859
429	68429	90709
430	68582	90542
431	68744	90385
432	68899	90221
433	69071	90079
434	69232	89923
435	69379	89747
436	69570	89630
437	69746	89492
438	69919	89350
439	70090	89205
440	70261	89061
441	70413	88892
442	70574	88735
443	70733	88575
444	70887	88410
445	71052	88258
446	71218	88106
447	71378	87948
448	71556	87811
449	71710	87646
450	71863	87478
451	72013	87308
452	72184	87162
453	72347	87007
454	72508	86851
455	72687	86715
456	72847	86556
457	72994	86381
458	73159	86229
459	73311	86061
460	73463	85892
461	73623	85734
462	73782	85574
463	73948	85423
464	74099	85254
465	74247	85081
466	74404	84919
467	74574	84772
468	74722	84600
469	74859	84416
470	75028	84267
471	75186	84106
472	75348	83950
473	75493	83776
474	75659	83623
475	75810	83455
476	75984	83311
477	76140	83149
478	76299	82989
479	76455	82827
480	76619	82672
481	76780	82514
482	76925	82340
483	77093	82190
484	77244	82022
485	77404	81864
486	77570	81711
487	77741	81564
488	77889	81394
489	78054	81240
490	78214	81081
491	78367	80916
492	78523	80753
493	78695	80607
494	78843	80436
495	79000	80275
496	79156	80111
497	79318	79955
498	79466	79785
499	79627	79627
500	79788	79470
501	79948	79311
502	80101	79146
503	80267	78993
504	80433	78840
505	80595	78684
506	80756	78526
507	80914	78365
508	81067	78200
509	81230	78045
510	81393	77889
511	81551	77729
512	81732	77590
513	81897	77436
514	82060	77280
515	82211	77113
516	82376	76959
517	82529	76793
518	82681	76627
519	82835	76463
520	82988	76298
521	83151	76142
522	83306	75979
523	83456	75811
524	83616	75652
525	83796	75512
526	83955	75352
527	84118	75197
528	84273	75033
529	84429	74871
530	84588	74711
531	84751	74556
532	84920	74405
533	85070	74237
534	85235	74082
535	85395	73924
536	85576	73783
537	85740	73628
538	85906	73474
539	86069	73318
540	86242	73170
541	86400	73010
542	86570	72859
543	86727	72698
544	86886	72538
545	87056	72387
546	87216	72228
547	87381	72073
548	87545	71918
549	87714	71766
550	87883	71615
551	88042	71454
552	88200	71294
553	88356	71131
554	88513	70970
555	88669	70808
556	88819	70641
557	88979	70482
558	89140	70324
559	89294	70160
560	89461	70006
561	89622	69848
562	89775	69683
563	89949	69535
564	90113	69379
565	90273	69220
566	90438	69065
567	90597	68904
568	90751	68741
569	90939	68603
570	91102	68446
571	91270	68292
572	91422	68128
573	91576	67964
574	91745	67811
575	91909	67655
576	92074	67499
577	92236	67342
578	92408	67191
579	92568	67032
580	92719	66866
581	92878	66706
582	93033	66543
583	93187	66379
584	93343	66217
585	93496	66054
586	93649	65889
587	93803	65726
588	93979	65577
589	94130	65412
590	94270	65239
591	94429	65079
592	94591	64921
593	94744	64758
594	94899	64595
595	95069	64442
596	95239	64290
597	95395	64128
598	95559	63971
599	95713	63808
600	95865	63644
601	96034	63491
602	96201	63336
603	96356	63173
604	96510	63010
605	96669	62851
606	96818	62684
607	96983	62528
608	97144	62370
609	97311	62215
610	97482	62063
611	97645	61905
612	97791	61737
613	97952	61578
614	98102	61414
615	98262	61254
616	98430	61100
617	98583	60936
618	98740	60775
619	98893	60612
620	99057	60455
621	99227	60301
622	99376	60136
623	99541	59980
624	99697	59818
625	99858	59659
626	100016	59499
627	100187	59346
628	100347	59187
629	100507	59028
630	100654	58861
631	100809	58699
632	100972	58541
633	101151	58393
634	101314	58235
635	101468	58073
636	101637	57918
637	101797	57759
638	101948	57595
639	102106	57434
640	102265	57275
641	102425	57115
642	102583	56955
643	102744	56796
644	102910	56640
645	103067	56479
646	103228	56320
647	103404	56170
648	103557	56007
649	103712	55844
650	103872	55685
651	104023	55521
652	104190	55365
653	104342	55202
654	104493	55038
655	104661	54883
656	104820	54723
657	104984	54566
658	105125	54397
659	105280	54235
660	105431	54071
661	105591	53912
662	105747	53750
663	105895	53585
664	106055	53426
665	106229	53274
666	106393	53116
667	106553	52957
668	106711	52797
669	106865	52635
670	107028	52477
671	107195	52321
672	107346	52157
673	107505	51998
674	107666	51839
675	107813	51674
676	107969	51512
677	108136	51356
678	108300	51199
679	108457	51039
680	108607	50874
681	108774	50718
682	108933	50559
683	109088	50397
684	109255	50241
685	109423	50086
686	109576	49923
687	109733	49762
688	109892	49603
689	110053	49444
690	110216	49286
691	110382	49129
692	110538	48968
693	110686	48804
694	110835	48640
695	110995	48480
696	111157	48322
697	111318	48163
698	111473	48002
699	111627	47840
700	111789	47682
701	111942	47519
702	112106	47362
703	112266	47202
704	112430	47045
705	112586	46884
706	112740	46722
707	112901	46563
708	113057	46403
709	113208	46240
710	113391	46090
711	113543	45927
712	113709	45770
713	113888	45619
714	114043	45457
715	114202	45298
716	114363	45139
717	114526	44981
718	114701	44827
719	114880	44675
720	115069	44527
721	115225	44366
722	115391	44209
723	115551	44050
724	115708	43889
725	115858	43726
726	116022	43568
727	116178	43407
728	116337	43247
729	116502	43089
730	116663	42930
731	116829	42773
732	116989	42614
733	117149	42454
734	117316	42297
735	117477	42138
736	117640	41980
737	117813	41825
738	117978	41667
739	118138	41507
740	118300	41349
741	118481	41197
742	118643	41038
743	118817	40883
744	119003	40732
745	119143	40566
746	119301	40405
747	119475	40250
748	119633	40090
749	119787	39929
750	119947	39769
751	120124	39615
752	120282	39455
753	120438	39294
754	120594	39133
755	120752	38973
756	120912	38813
757	121068	38652
758	121233	38494
759	121401	38337
760	121569	38180
761	121722	38018
762	121878	37857
763	122042	37698
764	122200	37538
765	122353	37376
766	122520	37219
767	122682	37060
768	122851	36903
769	123007	36742
770	123170	36583
771	123331	36424
772	123500	36267
773	123651	36104
774	123815	35946
775	123979	35787
776	124142	35628
777	124290	35465
778	124457	35308
779	124621	35149
780	124784	34990
781	124939	34829
782	125098	34669
783	125245	34506
784	125394	34343
785	125556	34184
786	125688	34017
787	125845	33857
788	125996	33694
789	126162	33536
790	126314	33375
791	126463	33212
792	126639	33057
793	126807	32899
794	126978	32742
795	127136	32582
796	127294	32422
797	127451	32262
798	127616	32103
799	127769	31942
800	127927	31782
801	128089	31623
802	128241	31461
803	128405	31302
804	128577	31146
805	128731	30985
806	128887	30824
807	129047	30664
808	129207	30505
809	129357	30343
810	129512	30182
811	129670	30022
812	129818	29859
813	129977	29700
814	130137	29540
815	130293	29379
816	130454	29220
817	130645	29067
818	130808	28908
819	130962	28747
820	131124	28588
821	131285	28429
822	131441	28268
823	131636	28116
824	131806	27958
825	131979	27801
826	132143	27643
827	132343	27491
828	132513	27333
829	132703	27180
830	132872	27022
831	133030	26861
832	133188	26701
833	133353	26542
834	133505	26381
835	133675	26223
836	133843	26065
837	134004	25905
838	134167	25746
839	134331	25586
840	134502	25429
841	134661	25269
842	134826	25110
843	134985	24949
844	135143	24789
845	135308	24630
846	135469	24470
847	135635	24312
848	135790	24151
849	135949	23991
850	136115	23832
851	136271	23671
852	136437	23512
853	136599	23353
854	136774	23195
855	136930	23034
856	137083	22873
857	137252	22715
858	137405	22554
859	137565	22394
860	137733	22235
861	137893	22075
862	138043	21914
863	138201	21753
864	138356	21593
865	138517	21433
866	138666	21271
867	138828	21112
868	138989	20952
869	139141	20791
870	139295	20630
871	139461	20471
872	139622	20311
873	139793	20153
874	139948	19992
875	140109	19832
876	140266	19672
877	140424	19512
878	140579	19351
879	140732	19190
880	140895	19031
881	141056	18871
882	141215	18711
883	141372	18551
884	141539	18392
885	141698	18232
886	141871	18073
887	142038	17914
888	142197	17754
889	142355	17594
890	142518	17434
891	142681	17275
892	142847	17116
893	143002	16955
894	143157	16794
895	143315	16634
896	143464	16473
897	143623	16313
898	143789	16154
899	143942	15993
900	144106	15834
901	144259	15673
902	144411	15512
903	144562	15351
904	144718	15191
905	144893	15033
906	145047	14872
907	145229	14714
908	145384	14554
909	145539	14394
910	145700	14234
911	145867	14074
912	146037	13915
913	146199	13756
914	146353	13595
915	146524	13436
916	146685	13276
917	146844	13116
918	147032	12959
919	147195	12799
920	147361	12640
921	147508	12479
922	147668	12319
923	147822	12158
924	147990	11999
925	148148	11839
926	148300	11678
927	148458	11518
928	148617	11358
929	148783	11198
930	148956	11039
931	149121	10880
932	149268	10719
933	149428	10559
934	149589	10399
935	149745	10239
936	149908	10079
937	150075	9919
938	150231	9759
939	150395	9599
940	150564	9440
941	150725	9280
942	150889	9120
943	151060	8961
944	151210	8800
945	151370	8640
946	151525	8480
947	151685	8320
948	151846	8160
949	152023	8001
950	152185	7841
951	152364	7682
952	152526	7522
953	152686	7362
954	152843	7202
955	152993	7041
956	153157	6881
957	153311	6721
958	153468	6561
959	153629	6401
960	153783	6240
961	153936	6080
962	154112	5921
963	154271	5761
964	154424	5600
965	154576	5440
966	154729	5280
967	154891	5120
968	155050	4960
969	155225	4800
970	155382	4640
971	155543	4480
972	155699	4320
973	155859	4160
974	156021	4000
975	156187	3840
976	156348	3680
977	156499	3520
978	156662	3360
979	156818	3200
980	156967	3040
981	157150	2880
982	157301	2720
983	157446	2560
984	157603	2400
985	157761	2240
986	157902	2079
987	158062	1919
988	158217	1759
989	158373	1599
990	158524	1439
991	158685	1279
992	158862	1119
993	159027	959
994	159198	799
995	159349	639
996	159512	479
997	159674	319
998	159827	159
999	159992	0
